# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 2.588000e-02 2.447791e-02 5.728000e-02 5.122844e-17 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.267351e+12 5.122855e-11 9.240468e-02 7.259700e-13
1.250000e+00 6.699000e-02 6.336070e-02 5.728000e-02 6.042605e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.963539e+09 6.042618e-08 9.477071e-02 8.514860e-10
1.250000e+00 1.162000e+00 1.099047e+00 5.728000e-02 1.486182e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180088e+01 1.611760e+03 1.486185e-02 1.091536e-01 3.782568e-03
1.250000e+00 8.852000e-01 8.372428e-01 5.728000e-02 2.369388e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180059e+01 6.291650e+03 2.369393e-02 1.040222e-01 2.150173e-03
1.250000e+00 1.514000e-01 1.431976e-01 5.728000e-02 8.599105e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.430645e+07 8.599122e-06 9.545793e-02 1.354599e-07
1.250000e+00 2.259000e-02 2.136615e-02 5.728000e-02 8.996420e-18 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.906621e+12 8.996438e-12 9.177411e-02 1.440293e-13
1.250000e+00 2.965000e-02 2.804366e-02 5.728000e-02 1.807031e-16 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.030746e+11 1.807035e-10 9.453551e-02 2.724241e-12
1.250000e+00 2.275000e-01 2.115964e-01 7.516000e-02 6.032420e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180201e+01 1.621233e+06 6.032432e-04 9.794165e-02 6.043897e-06
1.250000e+00 1.331000e+00 1.249050e+00 6.561000e-02 8.708437e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180127e+01 4.356958e+02 8.708454e-03 1.120429e-01 3.912935e-03
1.250000e+00 1.503000e-02 1.397932e-02 7.516000e-02 1.863396e-19 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.013075e+14 1.863400e-13 9.191154e-02 1.572113e-15
1.250000e+00 5.141000e-01 4.824467e-01 6.561000e-02 1.691248e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180134e+01 5.090126e+04 1.691251e-02 9.875992e-02 3.419377e-04
1.250000e+00 1.986000e-01 1.863721e-01 6.561000e-02 1.064443e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.985642e+06 1.064445e-04 9.706070e-02 1.342324e-06
1.250000e+00 6.746000e-01 6.274415e-01 7.516000e-02 6.422250e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.179856e+01 7.018061e+03 6.422263e-02 1.024330e-01 2.015304e-03
1.250000e+00 3.396000e-02 3.158600e-02 7.516000e-02 5.000642e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.200791e+10 5.000652e-09 9.474993e-02 4.496516e-11
1.250000e+00 2.986000e-01 2.777261e-01 7.516000e-02 2.842549e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180193e+01 4.145903e+05 2.842555e-03 9.740198e-02 3.060373e-05
1.250000e+00 1.514000e-01 1.408163e-01 7.516000e-02 5.840979e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.254455e+07 5.840991e-05 9.743769e-02 5.168812e-07
1.250000e+00 1.153000e-01 1.082009e-01 6.561000e-02 4.134566e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 9.317585e+07 4.134574e-06 9.614081e-02 5.026152e-08
1.250000e+00 5.889000e-01 5.477325e-01 7.516000e-02 5.530805e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.179921e+01 1.384079e+04 5.530816e-02 1.015434e-01 1.190696e-03
1.250000e+00 1.986000e-01 1.847167e-01 7.516000e-02 2.750835e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180202e+01 3.204792e+06 2.750840e-04 9.699341e-02 2.645560e-06
