# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geom eff_selection eff_total
4.571000e-02 6.236000e-01 1.768670e-04 1.508670e-03 2.133580e-03 8.000000e-04 1.508669e-03 1.964471e+01 7.503012e-09 4.025646e+02 1.680482e-01 2.414000e-02 8.086490e-05
2.388000e-01 1.425000e-02 2.153539e-10 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179961e+01 4.327621e+08 2.153754e-02 4.622309e-02 3.816410e-02 6.054051e-11
2.388000e-01 2.154000e-01 6.621326e-05 2.176677e-03 3.078279e-03 8.000000e-04 2.176672e-03 1.600858e+01 5.218145e+03 3.137133e+02 5.247463e-02 1.798777e-02 2.283135e-05
6.141000e-01 2.285000e-02 2.185003e-12 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180201e+01 1.768259e+09 2.185222e-04 4.109899e-02 3.842693e-02 1.555016e-11
5.789000e-02 1.805000e-02 1.256437e-05 6.227771e-03 8.807228e-03 8.000000e-04 6.227650e-03 1.228335e+01 1.107685e+06 4.873109e+02 1.053411e-01 4.025227e-02 6.375326e-08
1.777000e+00 6.615000e-02 3.030700e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 6.158091e+08 3.031004e+02 2.394811e-09 4.032159e-02 1.109064e-03
5.789000e-02 2.031000e-02 1.589645e-05 5.333191e-03 7.542164e-03 8.000000e-04 5.333115e-03 1.151685e+01 8.196773e+05 4.521417e+02 1.141348e-01 3.799425e-02 7.726438e-08
7.776000e-01 1.425000e-02 2.618335e-14 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 4.891507e+10 2.618596e-06 4.456618e-02 4.024842e-02 4.010856e-13
7.330000e-02 1.512000e-01 6.229603e-03 2.819035e-04 3.986717e-04 8.000000e-04 2.819035e-04 1.215322e+01 4.507145e-05 4.950639e+02 9.284356e-02 3.197431e-02 6.492801e-05
6.141000e-01 1.701000e-01 2.255032e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.031082e+01 7.376405e+04 2.255257e+01 4.397293e-02 2.654765e-02 1.678637e-06
2.388000e-01 7.897000e-01 2.598791e-06 3.596251e-03 5.085834e-03 8.000000e-04 3.596228e-03 3.151093e+01 1.819312e-08 3.361022e+01 8.985537e-02 1.412900e-02 4.805625e-05
2.251000e-02 1.701000e-01 5.491563e-02 9.193355e-05 1.300137e-04 8.000000e-04 9.193355e-05 1.158933e+01 2.420660e-05 4.641347e+02 1.737768e-01 4.121202e-02 6.366011e-05
9.848000e-01 1.000000e+00 1.502600e-11 1.000000e-07 1.414214e-07 8.000000e-04 1.000000e-07 3.180203e+01 7.195312e+04 1.502600e-13 5.122796e-02 3.137278e-04 3.922619e-08
2.850000e-02 4.642000e-02 8.264032e-02 8.600527e-05 1.216298e-04 8.000000e-04 8.600527e-05 5.973031e+00 3.196525e-03 6.112827e+02 1.649314e-01 3.918932e-02 7.672911e-05
5.457000e-01 9.427000e-02 2.210936e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.152012e+01 9.058826e+05 2.211158e+00 4.040834e-02 3.655329e-02 1.080760e-07
1.777000e+00 7.017000e-01 7.248093e-08 4.216965e-06 5.963689e-06 8.000000e-04 4.216965e-06 3.180203e+01 2.328861e+10 1.288913e-06 4.691132e-10 4.171567e-03 2.233102e-04
2.533000e-02 4.125000e-02 9.880624e-02 7.225419e-05 1.021829e-04 8.000000e-04 7.225419e-05 1.020709e+01 5.103068e-03 5.158346e+02 1.549263e-01 3.796698e-02 7.219316e-05
8.751000e-01 3.888000e-01 2.187908e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.065392e+01 4.501425e+03 2.188127e+01 3.772361e-02 7.929234e-03 1.090176e-05
7.776000e-01 2.728000e-01 2.099610e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 2.961768e+01 1.732652e+04 2.099820e+01 3.848145e-02 1.536094e-02 4.843198e-06
3.024000e-01 1.061000e-01 3.685416e-06 9.396296e-03 1.328778e-02 8.000000e-04 9.395881e-03 1.927971e+01 5.028735e+04 3.253868e+02 4.722365e-02 3.233003e-02 2.188469e-06
3.207000e-02 4.642000e-02 5.586170e-02 9.046788e-05 1.279409e-04 8.000000e-04 9.046788e-05 1.100523e+01 4.666779e-03 4.571966e+02 1.224380e-01 3.424245e-02 6.743694e-05
3.403000e-01 5.878000e-02 4.163308e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.135718e+01 1.447112e+06 4.163724e+00 3.748846e-02 3.827324e-02 3.511461e-08
2.533000e-02 3.257000e-02 9.799907e-02 7.026007e-05 9.936274e-05 8.000000e-04 7.026007e-05 9.806574e+00 2.162392e-02 4.837702e+02 1.387265e-01 4.109767e-02 7.011306e-05
2.388000e-01 5.541000e-01 1.244762e-05 3.002901e-03 4.246724e-03 8.000000e-04 3.002888e-03 2.622294e+01 8.103039e-08 1.122454e+02 7.273829e-02 1.079834e-02 3.194294e-05
2.850000e-02 5.223000e-02 8.499188e-02 7.293968e-05 1.031523e-04 8.000000e-04 7.293968e-05 1.160125e+01 2.702259e-03 4.521735e+02 1.179478e-01 3.910439e-02 7.854252e-05
6.141000e-01 3.665000e-02 2.965721e-11 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180175e+01 1.675522e+08 2.966017e-03 3.479324e-02 3.799567e-02 2.031494e-10
1.885000e-01 1.000000e+00 4.605689e-07 1.150407e-08 1.626922e-08 8.000000e-04 1.150407e-08 3.180203e+01 5.346160e+02 6.095340e-11 1.259003e-01 1.510904e-02 2.583092e-05
6.141000e-01 1.000000e+00 6.660502e-09 1.000000e-08 1.414214e-08 8.000000e-04 1.000000e-08 3.180203e+01 1.099375e+04 6.660502e-13 6.217945e-02 3.208123e-03 4.814972e-06
