# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events
5.144000e-02 4.924000e-01 1.138651e-01 6.649539e-05 9.403868e-05 1.000000e-02 6.649539e-05 1.390814e+01 9.944503e-06 5.034702e+02
1.323000e-01 4.375000e-01 2.831544e-02 1.152415e-04 1.629761e-04 1.000000e-02 1.152415e-04 1.635331e+01 3.195450e-05 3.760464e+02
2.687000e-01 8.377000e-02 5.939521e-04 8.824891e-04 1.248028e-03 1.000000e-02 8.824888e-04 1.011399e+01 7.460755e+04 4.625622e+02
2.000000e-02 1.194000e-01 1.903354e+01 5.626424e-06 7.956965e-06 1.000000e-02 5.626424e-06 5.899549e+00 1.474622e-02 6.025380e+02
2.687000e-01 1.000000e-02 2.109259e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.004736e+01 2.647117e+07 2.108891e+01
4.849000e-01 3.888000e-01 3.950428e-04 9.051279e-04 1.280044e-03 1.000000e-02 9.051275e-04 1.610853e+01 2.208380e+02 3.236414e+02
3.207000e-02 1.425000e-02 6.015880e-03 2.361785e-04 3.340069e-04 1.000000e-02 2.361785e-04 1.689290e+01 1.421995e+06 3.355676e+02
5.789000e-02 5.878000e-02 2.563052e+00 7.403508e-06 1.047014e-05 1.000000e-02 7.403508e-06 2.402133e+01 2.248994e+02 1.404858e+02
1.675000e-01 4.924000e-01 9.256879e-03 1.627119e-04 2.301094e-04 1.000000e-02 1.627119e-04 2.384474e+01 1.827853e-05 2.450774e+02
3.207000e-02 2.894000e-02 5.621787e-02 5.251691e-05 7.427013e-05 1.000000e-02 5.251691e-05 2.815390e+01 4.276906e+05 1.550504e+02
9.283000e-02 1.425000e-02 1.321963e-04 1.516025e-03 2.143981e-03 1.000000e-02 1.516024e-03 1.567290e+01 2.716149e+06 3.038311e+02
6.141000e-01 2.894000e-02 1.946928e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.974666e+01 3.460635e+06 1.946588e+01
6.910000e-01 1.701000e-01 1.051691e-04 2.091166e-03 2.957349e-03 1.000000e-02 2.091162e-03 1.366924e+01 1.737538e+04 4.599019e+02
1.176000e-01 5.878000e-02 4.739685e-03 2.987347e-04 4.224747e-04 1.000000e-02 2.987347e-04 1.729398e+01 1.278926e+05 4.229811e+02
4.571000e-02 1.000000e-02 5.949454e-04 7.400576e-04 1.046599e-03 1.000000e-02 7.400574e-04 1.504567e+01 3.926920e+06 3.258428e+02
3.024000e-01 1.194000e-01 9.856016e-04 6.015309e-04 8.506930e-04 1.000000e-02 6.015308e-04 1.232395e+01 4.256622e+04 3.566295e+02
5.144000e-02 1.000000e-02 4.704447e-04 9.263560e-04 1.310065e-03 1.000000e-02 9.263556e-04 1.409787e+01 4.015363e+06 4.037053e+02
1.885000e-01 8.886000e-01 3.582305e-04 5.972365e-05 8.446200e-05 1.000000e-02 5.972365e-05 3.180163e+01 2.834298e-05 1.277777e+00
2.000000e-02 1.343000e-01 1.531658e+01 5.930891e-06 8.387546e-06 1.000000e-02 5.930891e-06 9.397002e+00 9.320471e-03 5.387677e+02
2.251000e-02 4.125000e-02 1.950230e+01 4.870304e-06 6.887651e-06 1.000000e-02 4.870304e-06 9.862207e+00 7.671470e-01 4.625920e+02
2.850000e-02 1.914000e-01 4.978670e+00 8.413645e-06 1.189869e-05 1.000000e-02 8.413645e-06 1.537829e+01 3.255936e-03 3.524372e+02
3.829000e-01 3.665000e-02 1.397530e-17 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 3.677074e+17 6.089648e-22
8.249000e-02 8.377000e-02 6.776041e-01 2.400578e-05 3.394929e-05 1.000000e-02 2.400578e-05 1.416959e+01 1.474520e+01 3.904878e+02
3.207000e-02 2.572000e-02 4.200163e-02 9.062628e-05 1.281649e-04 1.000000e-02 9.062628e-05 1.093956e+01 3.320395e+05 3.449646e+02
6.514000e-02 1.701000e-01 1.338489e+00 2.134615e-05 3.018801e-05 1.000000e-02 2.134615e-05 8.448890e+00 3.977170e-03 6.098932e+02
9.283000e-02 7.444000e-02 3.673758e-02 1.208213e-04 1.708671e-04 1.000000e-02 1.208213e-04 8.665778e+00 6.463557e+04 5.362874e+02
1.045000e-01 3.257000e-02 1.201238e-03 5.731934e-04 8.106177e-04 1.000000e-02 5.731933e-04 1.463629e+01 4.625421e+05 3.946674e+02
8.751000e-01 1.805000e-02 9.753210e-30 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.524032e+28 9.755888e-42
1.045000e-01 1.061000e-01 3.253397e-01 3.630183e-05 5.133855e-05 1.000000e-02 3.630183e-05 1.347788e+01 5.227749e+00 4.287402e+02
