# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
1.250000e+00 2.588000e-02 2.464762e-02 5.000000e-02 2.066751e-13 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 3.397116e+10 2.066755e-07
1.250000e+00 3.420000e-01 3.257143e-01 5.000000e-02 6.321511e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.092212e+01 8.896802e+03 6.321523e+00
1.250000e+00 1.153000e-01 1.098095e-01 5.000000e-02 1.382442e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180008e+01 2.166633e+06 1.382445e-02
1.250000e+00 2.965000e-02 2.823810e-02 5.000000e-02 1.037514e-12 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 7.518964e+09 1.037516e-06
1.250000e+00 1.321000e-01 1.258095e-01 5.000000e-02 3.180661e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179746e+01 1.080306e+06 3.180667e-02
1.250000e+00 1.746000e+00 1.662857e+00 5.000000e-02 4.091863e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.174292e+01 2.538710e+00 4.091871e-01
1.250000e+00 7.727000e-01 7.359048e-01 5.000000e-02 8.915934e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.055779e+01 1.501466e+02 8.915952e+00
1.250000e+00 2.275000e-01 2.166667e-01 5.000000e-02 8.496859e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.167810e+01 6.895005e+04 8.496876e-01
1.250000e+00 3.918000e-01 3.731428e-01 5.000000e-02 1.108260e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.029160e+01 4.498957e+03 1.108263e+01
1.250000e+00 1.514000e-01 1.441905e-01 5.000000e-02 7.172001e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179185e+01 5.396122e+05 7.172016e-02
1.250000e+00 1.524000e+00 1.451429e+00 5.000000e-02 1.101849e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.164281e+01 5.013130e+00 1.101851e+00
1.250000e+00 2.000000e+00 1.904762e+00 5.000000e-02 9.294127e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.178870e+01 1.284917e+00 9.294146e-02
1.250000e+00 1.331000e+00 1.267619e+00 5.000000e-02 2.206877e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.148459e+01 9.874509e+00 2.206881e+00
1.250000e+00 1.014000e+00 9.657143e-01 5.000000e-02 5.720963e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.098741e+01 3.851774e+01 5.720975e+00
