# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
1.176000e-01 1.701000e-01 1.627827e-05 5.070068e-03 7.170067e-03 1.000000e-04 5.070003e-03 1.144492e+01 4.068465e-07 4.184425e+02 1.000000e+00
1.045000e-01 1.512000e-01 2.827260e-05 3.892746e-03 5.505132e-03 1.000000e-04 3.892716e-03 1.073531e+01 7.752641e-07 4.284281e+02 1.000000e+00
1.176000e-01 2.424000e-01 1.267139e-05 6.032102e-03 8.530525e-03 1.000000e-04 6.031992e-03 1.110121e+01 6.156592e-08 4.610644e+02 1.000000e+00
3.207000e-02 9.427000e-02 8.516673e-04 7.565345e-04 1.069901e-03 1.000000e-04 7.565343e-04 6.085487e+00 4.418971e-06 4.874471e+02 1.000000e+00
3.207000e-02 4.375000e-01 2.836290e-05 4.239552e-03 5.995578e-03 1.000000e-04 4.239514e-03 1.281437e+01 1.355735e-09 5.097890e+02 1.000000e+00
2.388000e-01 1.000000e-02 5.389077e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.658761e+31 5.390556e-47 5.108238e-02
9.848000e-01 1.000000e-02 6.094687e-40 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 4.731461e+33 6.096361e-52 1.280459e-01
2.687000e-01 4.924000e-01 1.452892e-07 9.833081e-03 1.390540e-02 1.000000e-04 9.832606e-03 3.039919e+01 1.577161e-08 1.404794e+01 1.000000e+00
3.207000e-02 7.444000e-02 9.078994e-04 7.715610e-04 1.091152e-03 1.000000e-04 7.715608e-04 5.989410e+00 9.135811e-06 5.404783e+02 1.000000e+00
2.850000e-02 3.455000e-01 9.458188e-05 2.307394e-03 3.263139e-03 1.000000e-04 2.307388e-03 1.112017e+01 7.339242e-09 5.035602e+02 1.000000e+00
3.024000e-01 2.154000e-01 5.061859e-28 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 6.077730e+24 5.063249e-40 4.281035e-02
5.144000e-02 2.728000e-01 1.057564e-04 2.072110e-03 2.930400e-03 1.000000e-04 2.072106e-03 9.895245e+00 6.044208e-08 4.540800e+02 1.000000e+00
2.687000e-01 2.728000e-01 5.855028e-07 9.643773e-03 1.363772e-02 1.000000e-04 9.643325e-03 2.780389e+01 2.898988e-05 5.445314e+01 1.000000e+00
2.000000e-02 2.894000e-02 2.595285e-03 4.449857e-04 6.293048e-04 1.000000e-04 4.449857e-04 7.196804e+00 3.098527e-04 5.138983e+02 1.000000e+00
3.024000e-01 1.125000e-02 1.883778e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.355706e+31 1.884295e-47 5.597438e-02
6.910000e-01 7.444000e-02 2.013242e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 4.941402e+28 2.013794e-45 9.310601e-02
