# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
2.122000e-01 7.017000e-01 1.069147e-03 1.000047e-02 1.414209e-02 1.000000e-02 9.999966e-03 2.731048e+02 2.647730e-09 1.069247e+05 1.000000e+00
2.533000e-02 1.000000e+00 5.256462e-04 1.000044e-02 1.414206e-02 1.000000e-02 9.999944e-03 2.694383e+02 1.272741e-11 5.256929e+04 1.000000e+00
1.579000e+00 1.512000e-01 1.660647e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.697711e+01 3.865471e+04 1.660813e+02 1.003297e-01
4.309000e-01 1.343000e-01 4.284733e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.212052e+02 3.665876e+02 4.285161e+05 3.282561e-01
2.000000e+00 8.886000e-01 1.908616e-07 1.000032e-02 1.414188e-02 1.000000e-02 9.999822e-03 3.225338e+01 1.256337e+01 1.908739e+01 1.000000e+00
1.777000e+00 1.701000e-01 1.135107e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.039695e+01 3.440368e+04 1.135221e+02 1.014487e-01
9.283000e-02 1.604000e-02 1.169513e-02 1.000044e-02 1.414205e-02 1.000000e-02 9.999940e-03 3.231974e+02 3.428848e+04 1.169616e+06 2.703421e-02
4.849000e-01 3.665000e-02 5.959019e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 7.528994e+00 4.121429e+05 5.959615e+02 7.247793e-02
1.777000e+00 1.604000e-02 1.416294e-12 1.000049e-02 1.414212e-02 1.000000e-02 9.999991e-03 3.180202e+01 4.697571e+09 1.416433e-04 1.114189e-01
3.024000e-01 1.061000e-01 1.733302e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.259985e+02 2.839346e+02 1.733475e+06 3.104719e-01
3.609000e-02 5.223000e-02 7.078299e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277265e+02 3.397226e-07 7.079006e+08 1.000000e+00
1.675000e-01 2.285000e-02 1.252957e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.953479e+02 6.201336e+04 1.253082e+05 3.983809e-02
1.247000e+00 1.425000e-02 1.164887e-11 1.000047e-02 1.414209e-02 1.000000e-02 9.999967e-03 3.180190e+01 2.064659e+09 1.164996e-03 1.059239e-01
9.848000e-01 8.886000e-01 1.700497e-06 1.000050e-02 1.414213e-02 1.000000e-02 9.999998e-03 4.347065e+01 3.833612e-01 1.700667e+02 1.000000e+00
6.514000e-02 4.642000e-02 1.507157e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277075e+02 2.808014e+01 1.507307e+08 8.178334e-01
6.514000e-02 1.425000e-02 7.059178e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.270012e+02 1.490717e+04 7.059884e+06 2.174874e-02
5.789000e-02 1.701000e-01 1.667431e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277131e+02 1.402878e-08 1.667598e+08 1.000000e+00
5.789000e-02 1.805000e-02 6.324223e-01 1.000035e-02 1.414192e-02 1.000000e-02 9.999849e-03 3.276450e+02 2.746873e+03 6.324665e+07 2.243005e-02
3.609000e-02 1.000000e+00 5.050348e-04 1.000041e-02 1.414201e-02 1.000000e-02 9.999914e-03 2.665413e+02 2.583842e-11 5.050766e+04 1.000000e+00
2.533000e-02 3.070000e-01 4.562930e-07 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 4.399382e+10 4.562930e-19 1.178241e-02
3.609000e-02 6.236000e-01 2.813065e-02 1.000039e-02 1.414199e-02 1.000000e-02 9.999895e-03 3.270516e+02 1.065587e-10 2.813287e+06 1.000000e+00
2.000000e-02 2.728000e-01 9.574976e-07 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 3.908934e+10 9.574976e-19 1.037028e-02
1.675000e-01 1.512000e-01 2.836241e-05 4.661763e-06 6.592729e-06 1.000000e-02 4.661763e-06 3.180196e+01 1.032892e+07 6.163729e-04 3.253880e-02
