# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geometry eff_selection eff_total
1.777000e+00 5.541000e-01 2.088508e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.175379e+01 8.877114e+01 2.088717e+02 9.957441e-02 6.230582e-03 1.809452e-05
3.403000e-01 4.375000e-01 8.565253e-04 2.894843e-04 4.093926e-04 1.000000e-02 2.894843e-04 3.007351e+01 9.494196e-05 7.177782e+01 5.420518e-02 5.560703e-03 1.588822e-05
9.848000e-01 1.512000e-01 1.978840e-05 5.457807e-03 7.718390e-03 1.000000e-02 5.457726e-03 6.464936e+00 1.945003e+04 5.894500e+02 5.325473e-03 2.941468e-02 5.190411e-06
3.024000e-01 2.728000e-01 4.470783e-03 3.018967e-04 4.269464e-04 1.000000e-02 3.018967e-04 1.362641e+01 1.371679e+03 4.074745e+02 3.553958e-02 1.233756e-02 2.560763e-05
2.122000e-01 3.257000e-02 1.024512e-04 2.390225e-03 3.380279e-03 1.000000e-02 2.390218e-03 7.000680e+00 4.724545e+05 5.853215e+02 5.480887e-05 4.053099e-02 1.235335e-07
3.829000e-01 1.343000e-01 6.154544e-04 9.659123e-04 1.366006e-03 1.000000e-02 9.659119e-04 7.153916e+00 2.408779e+04 5.742107e+02 3.953708e-03 3.133904e-02 5.594920e-06
2.388000e-01 4.924000e-01 2.330991e-03 2.367711e-04 3.348448e-04 1.000000e-02 2.367711e-04 2.532782e+01 1.965206e-05 1.306766e+02 4.372649e-02 8.083114e-03 2.314364e-05
6.141000e-01 1.701000e-01 1.675981e-04 1.827051e-03 2.583836e-03 1.000000e-02 1.827048e-03 7.342259e+00 1.408307e+04 5.594620e+02 7.788684e-03 2.619373e-02 8.212556e-06
5.789000e-02 1.701000e-01 1.661050e+00 1.831544e-05 2.590195e-05 1.000000e-02 1.831544e-05 7.641611e+00 4.181925e-03 5.572081e+02 1.926300e-02 3.454029e-02 6.951630e-05
2.533000e-02 3.888000e-01 5.836277e-01 2.988392e-05 4.226224e-05 1.000000e-02 2.988392e-05 1.216663e+01 2.425022e-05 5.212078e+02 1.429142e-02 3.169929e-02 6.769355e-05
