# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
3.207000e-02 6.955000e-01 2.500000e-01 1.782000e+00 5.438999e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.148224e+01 9.184335e-15 5.439010e+00
2.000000e-02 1.243000e+00 2.500000e-01 3.972000e+00 2.599458e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180307e+01 4.676500e-16 2.599464e-02
2.850000e-02 1.800000e+00 2.500000e-01 6.200000e+00 3.045177e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180205e+01 2.929315e-16 3.045183e-04
3.609000e-02 5.341000e-01 2.500000e-01 1.136400e+00 3.612575e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.862280e+01 3.561916e-14 3.612582e+01
2.850000e-02 2.834000e-01 2.500000e-01 1.336000e-01 7.665573e-04 8.679536e-04 1.000000e+00 1.000000e-04 4.339768e-04 2.150720e+01 9.150325e-12 1.443702e+02
3.207000e-02 1.707000e+00 2.500000e-01 5.828000e+00 6.465687e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180207e+01 4.377727e-16 6.465700e-04
2.850000e-02 3.150000e-01 2.500000e-01 2.600000e-01 7.234556e-04 1.566682e-03 1.000000e+00 1.000000e-04 7.833411e-04 9.500298e+00 1.033141e-12 4.439292e+02
3.207000e-02 1.619000e+00 2.500000e-01 5.476000e+00 1.288623e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180211e+01 5.169075e-16 1.288625e-03
3.609000e-02 3.691000e-01 2.500000e-01 4.764000e-01 2.937702e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.228214e+01 3.253793e-13 2.937708e+02
3.207000e-02 1.119000e+00 2.500000e-01 3.476000e+00 7.482605e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180427e+01 1.697915e-15 7.482619e-02
2.850000e-02 3.691000e-01 2.500000e-01 4.764000e-01 3.468349e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.072988e+01 2.024137e-13 3.468356e+02
3.207000e-02 5.066000e-01 2.500000e-01 1.026400e+00 5.342189e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.717394e+01 3.625659e-14 5.342199e+01
3.207000e-02 1.800000e+00 2.500000e-01 6.200000e+00 3.038875e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180205e+01 3.708878e-16 3.038881e-04
4.062000e-02 4.559000e-01 2.500000e-01 8.236001e-01 8.825946e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.442859e+01 1.011014e-13 8.825964e+01
3.609000e-02 1.800000e+00 2.500000e-01 6.200000e+00 3.032334e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180205e+01 4.696915e-16 3.032340e-04
2.850000e-02 1.707000e+00 2.500000e-01 5.828000e+00 6.468584e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180207e+01 3.457103e-16 6.468597e-04
2.850000e-02 2.000000e+00 2.500000e-01 7.000000e+00 5.482490e-11 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180203e+01 2.111554e-16 5.482501e-05
3.207000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.583804e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180228e+01 7.214799e-16 4.583813e-03
3.609000e-02 4.102000e-01 2.500000e-01 6.408000e-01 1.708455e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.897232e+01 1.509417e-13 1.708458e+02
3.207000e-02 9.057000e-01 2.500000e-01 2.622800e+00 5.680537e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.179758e+01 3.483415e-15 5.680548e-01
4.062000e-02 3.150000e-01 2.500000e-01 2.600000e-01 4.884088e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.218868e+01 2.221872e-12 4.884098e+02
3.609000e-02 5.066000e-01 2.500000e-01 1.026400e+00 5.060852e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.731687e+01 4.591976e-14 5.060862e+01
2.850000e-02 1.179000e+00 2.500000e-01 3.716000e+00 4.412828e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180372e+01 1.128690e-15 4.412837e-02
2.850000e-02 5.936000e-01 2.500000e-01 1.374400e+00 1.883550e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.031179e+01 1.383922e-14 1.883553e+01
2.850000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.654142e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180228e+01 5.698366e-16 4.654151e-03
2.850000e-02 5.066000e-01 2.500000e-01 1.026400e+00 5.528809e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.706681e+01 2.863128e-14 5.528821e+01
2.850000e-02 5.631000e-01 2.500000e-01 1.252400e+00 2.746765e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.955124e+01 1.743744e-14 2.746771e+01
3.207000e-02 5.936000e-01 2.500000e-01 1.374400e+00 1.824292e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.035334e+01 1.752339e-14 1.824295e+01
3.207000e-02 3.321000e-01 2.500000e-01 3.284000e-01 5.303707e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 7.199854e+00 6.916879e-13 5.303717e+02
3.207000e-02 1.179000e+00 2.500000e-01 3.716000e+00 4.434813e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180370e+01 1.429207e-15 4.434822e-02
2.850000e-02 1.119000e+00 2.500000e-01 3.476000e+00 7.565583e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180434e+01 1.340939e-15 7.565598e-02
3.609000e-02 2.000000e+00 2.500000e-01 7.000000e+00 5.455347e-11 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180203e+01 3.386085e-16 5.455358e-05
3.609000e-02 1.382000e+00 2.500000e-01 4.528000e+00 8.301147e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180242e+01 1.081663e-15 8.301164e-03
3.207000e-02 1.536000e+00 2.500000e-01 5.144000e+00 2.468825e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180217e+01 6.102251e-16 2.468830e-03
2.850000e-02 3.501000e-01 2.500000e-01 4.004000e-01 4.586825e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 7.742685e+00 3.199309e-13 4.586834e+02
2.850000e-02 6.258000e-01 2.500000e-01 1.503200e+00 1.281116e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.086998e+01 1.107639e-14 1.281119e+01
2.850000e-02 9.548000e-01 2.500000e-01 2.819200e+00 3.510902e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180353e+01 2.290740e-15 3.510909e-01
3.207000e-02 1.382000e+00 2.500000e-01 4.528000e+00 8.237499e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180243e+01 8.541677e-16 8.237515e-03
2.850000e-02 4.324000e-01 2.500000e-01 7.296000e-01 1.476794e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.046404e+01 6.757616e-14 1.476797e+02
3.207000e-02 3.501000e-01 2.500000e-01 4.004000e-01 4.141846e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 8.103996e+00 4.058250e-13 4.141855e+02
3.207000e-02 1.897000e+00 2.500000e-01 6.588000e+00 1.340703e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180204e+01 3.149909e-16 1.340706e-04
4.062000e-02 7.730000e-01 2.500000e-01 2.092000e+00 2.140752e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.171496e+01 9.871791e-15 2.140756e+00
3.207000e-02 2.834000e-01 2.500000e-01 1.336000e-01 6.566829e-04 8.884398e-04 1.000000e+00 1.000000e-04 4.442199e-04 2.255642e+01 2.022477e-11 1.295841e+02
2.850000e-02 1.897000e+00 2.500000e-01 6.588000e+00 1.346912e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180204e+01 2.487779e-16 1.346915e-04
3.207000e-02 1.061000e+00 2.500000e-01 3.244000e+00 1.267084e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180488e+01 2.027354e-15 1.267086e-01
2.850000e-02 1.061000e+00 2.500000e-01 3.244000e+00 1.282073e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180500e+01 1.601252e-15 1.282075e-01
3.207000e-02 2.988000e-01 2.500000e-01 1.952000e-01 7.320650e-04 1.181295e-03 1.000000e+00 1.000000e-04 5.906474e-04 1.555198e+01 3.100174e-12 2.553914e+02
3.609000e-02 1.179000e+00 2.500000e-01 3.716000e+00 4.400457e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180363e+01 1.809965e-15 4.400466e-02
3.207000e-02 1.007000e+00 2.500000e-01 3.028000e+00 2.083487e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180461e+01 2.418174e-15 2.083491e-01
3.609000e-02 2.988000e-01 2.500000e-01 1.952000e-01 6.324627e-04 1.223436e-03 1.000000e+00 1.000000e-04 6.117179e-04 1.644410e+01 4.203829e-12 2.366668e+02
2.850000e-02 1.007000e+00 2.500000e-01 3.028000e+00 2.099379e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180480e+01 1.909686e-15 2.099383e-01
2.850000e-02 1.382000e+00 2.500000e-01 4.528000e+00 8.359528e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180244e+01 6.745442e-16 8.359545e-03
2.850000e-02 4.102000e-01 2.500000e-01 6.408000e-01 1.969341e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.753927e+01 9.405433e-14 1.969345e+02
3.207000e-02 1.311000e+00 2.500000e-01 4.244000e+00 1.465411e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180269e+01 1.011913e-15 1.465414e-02
2.850000e-02 9.057000e-01 2.500000e-01 2.622800e+00 5.762337e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.179940e+01 2.750806e-15 5.762349e-01
2.850000e-02 7.730000e-01 2.500000e-01 2.092000e+00 2.327895e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.171002e+01 4.859566e-15 2.327900e+00
3.609000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.543020e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180226e+01 9.137262e-16 4.543030e-03
2.850000e-02 7.333000e-01 2.500000e-01 1.933200e+00 3.654782e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.162012e+01 5.920182e-15 3.654789e+00
3.609000e-02 9.548000e-01 2.500000e-01 2.819200e+00 3.396823e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180222e+01 3.673446e-15 3.396830e-01
3.609000e-02 1.619000e+00 2.500000e-01 5.476000e+00 1.288773e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180210e+01 6.545645e-16 1.288776e-03
2.850000e-02 5.341000e-01 2.500000e-01 1.136400e+00 3.999520e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.839680e+01 2.220845e-14 3.999528e+01
2.850000e-02 1.619000e+00 2.500000e-01 5.476000e+00 1.294876e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180210e+01 4.082050e-16 1.294878e-03
3.609000e-02 4.559000e-01 2.500000e-01 8.236001e-01 9.593271e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.370990e+01 7.978174e-14 9.593291e+01
