# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
2.000000e-02 1.061000e+00 2.500000e-01 3.244000e+00 1.284817e-03 1.720758e-08 1.000000e+00 1.000000e-02 8.603788e-09 3.180203e+01 7.884481e-16 9.510878e-08 4.787609e-02 4.787609e-02
2.000000e-02 5.341000e-01 2.500000e-01 1.136400e+00 4.376410e-01 7.057227e-05 1.000000e+00 1.000000e-02 3.528614e-05 1.331721e+01 1.093683e-14 5.449118e+02 8.479342e-02 8.479342e-02
2.000000e-02 1.536000e+00 2.500000e-01 5.144000e+00 2.278691e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.325755e+01 2.373353e-16 2.278695e+01 4.302438e-02 4.302438e-02
2.000000e-02 4.559000e-01 2.500000e-01 8.236001e-01 1.216800e+00 4.144480e-05 1.000000e+00 1.000000e-02 2.072240e-05 1.174164e+01 2.448930e-14 5.225156e+02 9.671212e-02 9.671212e-02
2.000000e-02 4.324000e-01 2.500000e-01 7.296000e-01 1.678664e+00 3.512273e-05 1.000000e+00 1.000000e-02 1.756137e-05 1.187334e+01 3.326947e-14 5.177025e+02 1.007108e-01 1.007108e-01
2.000000e-02 1.243000e+00 2.500000e-01 3.972000e+00 2.514311e-04 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 4.947890e+01 4.676706e-16 2.514316e+02 4.503285e-02 4.503285e-02
2.000000e-02 5.066000e-01 2.500000e-01 1.026400e+00 6.153165e-01 5.890050e-05 1.000000e+00 1.000000e-02 2.945025e-05 1.268038e+01 1.409882e-14 5.336745e+02 8.836442e-02 8.836442e-02
2.000000e-02 3.891000e-01 2.500000e-01 5.563999e-01 3.087411e+00 2.669123e-05 1.000000e+00 1.000000e-02 1.334562e-05 9.950810e+00 6.654436e-14 5.498847e+02 1.090722e-01 1.090722e-01
2.000000e-02 6.955000e-01 2.500000e-01 1.782000e+00 5.876593e-02 1.650935e-04 1.000000e+00 1.000000e-02 8.254675e-05 2.338079e+01 3.572025e-15 4.004291e+02 6.678113e-02 6.678113e-02
2.000000e-02 1.119000e+00 2.500000e-01 3.476000e+00 7.469605e-04 1.767131e-07 1.000000e+00 1.000000e-02 8.835655e-08 3.180203e+01 6.603398e-16 5.831432e-06 4.707832e-02 4.707832e-02
2.000000e-02 4.806000e-01 2.500000e-01 9.224000e-01 8.749544e-01 4.905824e-05 1.000000e+00 1.000000e-02 2.452912e-05 1.240137e+01 1.841993e-14 5.264407e+02 9.261174e-02 9.261174e-02
2.000000e-02 3.150000e-01 2.500000e-01 2.600000e-01 9.172916e+00 1.592678e-05 1.000000e+00 1.000000e-02 7.963388e-06 8.600766e+00 5.025881e-13 5.817055e+02 1.198216e-01 1.198216e-01
2.000000e-02 7.730000e-01 2.500000e-01 2.092000e+00 2.420801e-02 1.838511e-04 1.000000e+00 1.000000e-02 9.192556e-05 2.904422e+01 2.392824e-15 2.045651e+02 6.017244e-02 6.017244e-02
2.000000e-02 3.321000e-01 2.500000e-01 3.284000e-01 7.291723e+00 1.892106e-05 1.000000e+00 1.000000e-02 9.460529e-06 6.578494e+00 2.666609e-13 6.526210e+02 1.188293e-01 1.188293e-01
