# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
2.000000e-02 5.789000e-02 1.500000e-02 2.859333e+00 1.016242e+02 4.942319e-06 1.000000e+00 1.000000e-02 2.471159e-06 6.043404e+00 5.318391e-12 6.205816e+02 1.000000e+00 1.140682e-01 1.140682e-01
2.000000e-02 4.571000e-02 1.500000e-02 2.047333e+00 1.065528e+02 4.862773e-06 1.000000e+00 1.000000e-02 2.431387e-06 6.124304e+00 1.389881e-11 6.299020e+02 1.000000e+00 1.155704e-01 1.155704e-01
2.000000e-02 3.829000e-01 1.500000e-02 2.452667e+01 2.777066e+00 2.754380e-05 1.000000e+00 1.000000e-02 1.377190e-05 1.248615e+01 1.420056e-14 5.267129e+02 1.000000e+00 8.815824e-02 8.815824e-02
2.000000e-02 3.403000e-01 1.500000e-02 2.168667e+01 4.952259e+00 2.076420e-05 1.000000e+00 1.000000e-02 1.038210e-05 1.161371e+01 2.025344e-14 5.337940e+02 1.000000e+00 9.194626e-02 9.194626e-02
2.000000e-02 7.776000e-01 1.500000e-02 5.084000e+01 2.060525e-02 1.423954e-04 1.000000e+00 1.000000e-02 7.119768e-05 3.077132e+01 1.689554e-15 1.044502e+02 1.000000e+00 5.823725e-02 5.823725e-02
2.000000e-02 1.045000e-01 1.500000e-02 5.966667e+00 8.161452e+01 5.321243e-06 1.000000e+00 1.000000e-02 2.660621e-06 6.742947e+00 7.433283e-13 5.777415e+02 1.000000e+00 1.115910e-01 1.115910e-01
2.000000e-02 4.309000e-01 1.500000e-02 2.772667e+01 1.481682e+00 3.759432e-05 1.000000e+00 1.000000e-02 1.879716e-05 1.369923e+01 9.954184e-15 5.235276e+02 1.000000e+00 8.430934e-02 8.430934e-02
2.000000e-02 3.609000e-02 1.500000e-02 1.406000e+00 1.097878e+02 4.670900e-06 1.000000e+00 1.000000e-02 2.335450e-06 7.206255e+00 8.164946e-11 5.988185e+02 1.000000e+00 1.178760e-01 1.178760e-01
2.000000e-02 2.388000e-01 1.500000e-02 1.492000e+01 1.909211e+01 1.041110e-05 1.000000e+00 1.000000e-02 5.205549e-06 1.013202e+01 5.897690e-14 5.173530e+02 1.000000e+00 1.007222e-01 1.007222e-01
2.000000e-02 9.848000e-01 1.500000e-02 6.465333e+01 2.362953e-03 5.457893e-08 1.000000e+00 1.000000e-02 2.728946e-08 3.180203e+01 8.313830e-16 1.759726e-06 1.000000e+00 4.921542e-02 4.921542e-02
2.000000e-02 4.062000e-02 1.500000e-02 1.708000e+00 1.088635e+02 4.799650e-06 1.000000e+00 1.000000e-02 2.399825e-06 5.875504e+00 2.600880e-11 6.269622e+02 1.000000e+00 1.167730e-01 1.167730e-01
2.000000e-02 1.108000e+00 1.500000e-02 7.286667e+01 7.639755e-04 2.327054e-08 1.000000e+00 1.000000e-02 1.163527e-08 3.180203e+01 5.836435e-16 1.034266e-07 1.000000e+00 4.659807e-02 4.659807e-02
2.000000e-02 6.141000e-01 1.500000e-02 3.994000e+01 1.404903e-01 1.086150e-04 1.000000e+00 1.000000e-02 5.430752e-05 2.171400e+01 3.432456e-15 4.143491e+02 1.000000e+00 6.959943e-02 6.959943e-02
2.000000e-02 3.024000e-01 1.500000e-02 1.916000e+01 8.282758e+00 1.606009e-05 1.000000e+00 1.000000e-02 8.030043e-06 1.056471e+01 2.890943e-14 5.340853e+02 1.000000e+00 9.490694e-02 9.490694e-02
2.000000e-02 1.489000e-01 1.500000e-02 8.926667e+00 5.584492e+01 6.248497e-06 1.000000e+00 1.000000e-02 3.124248e-06 8.371105e+00 2.480737e-13 5.450982e+02 1.000000e+00 1.087209e-01 1.087209e-01
2.000000e-02 2.687000e-01 1.500000e-02 1.691333e+01 1.288592e+01 1.280940e-05 1.000000e+00 1.000000e-02 6.404698e-06 1.041872e+01 4.129017e-14 5.285823e+02 1.000000e+00 9.777337e-02 9.777337e-02
2.000000e-02 5.144000e-02 1.500000e-02 2.429333e+00 1.053936e+02 4.777388e-06 1.000000e+00 1.000000e-02 2.388694e-06 6.465387e+00 8.365117e-12 6.013613e+02 1.000000e+00 1.147512e-01 1.147512e-01
