# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 1.734000e-01 1.640058e-01 5.728000e-02 4.539033e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.178843e+01 1.428459e+05 4.539042e-01 4.741786e-04 9.635091e-02 4.568754e-05
1.250000e+00 5.141000e-01 4.862477e-01 5.728000e-02 2.124543e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.096105e+01 6.109902e+02 2.124548e+01 3.354067e-02 9.836368e-02 3.299184e-03
1.250000e+00 1.746000e+00 1.651407e+00 5.728000e-02 3.618247e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.176939e+01 1.343121e+00 3.618254e-01 8.704338e-01 1.134647e-01 9.876352e-02
1.250000e+00 5.105000e-02 4.790683e-02 6.561000e-02 6.506067e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180201e+01 4.160926e+07 6.506080e-04 5.057302e-07 9.553992e-02 4.831742e-08
1.250000e+00 2.606000e-01 2.464815e-01 5.728000e-02 4.327383e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.167215e+01 1.839717e+04 4.327392e+00 4.846274e-03 9.621779e-02 4.662978e-04
1.250000e+00 7.674000e-02 7.258247e-02 5.728000e-02 3.451374e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180193e+01 9.250352e+06 3.451381e-03 3.001229e-06 9.529289e-02 2.859958e-07
1.250000e+00 8.852000e-01 8.372428e-01 5.728000e-02 9.801676e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.125661e+01 4.026459e+01 9.801696e+00 1.782557e-01 1.026729e-01 1.830203e-02
1.250000e+00 2.000000e+00 1.891646e+00 5.728000e-02 7.725665e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179482e+01 6.799538e-01 7.725680e-02 9.233883e-01 1.150122e-01 1.062009e-01
1.250000e+00 1.321000e-01 1.249433e-01 5.728000e-02 7.923190e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179976e+01 5.658849e+05 7.923206e-02 8.641210e-05 9.565193e-02 8.265484e-06
1.250000e+00 1.986000e-01 1.878405e-01 5.728000e-02 9.796464e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.177628e+01 7.210202e+04 9.796484e-01 1.027412e-03 9.529870e-02 9.791099e-05
1.250000e+00 5.889000e-01 5.569953e-01 5.728000e-02 1.759420e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.110474e+01 3.095572e+02 1.759424e+01 3.649724e-02 9.880150e-02 3.605982e-03
1.250000e+00 5.848000e-02 5.531174e-02 5.728000e-02 6.155275e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180202e+01 3.939560e+07 6.155287e-04 5.851527e-07 9.431284e-02 5.518741e-08
1.250000e+00 1.972000e-02 1.850583e-02 6.561000e-02 2.701727e-13 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 4.285268e+10 2.701732e-07 1.955538e-10 9.271483e-02 1.813074e-11
1.250000e+00 5.105000e-02 4.828428e-02 5.728000e-02 2.270070e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 8.333944e+07 2.270075e-04 2.387917e-07 9.409402e-02 2.246887e-08
1.250000e+00 1.162000e+00 1.099047e+00 5.728000e-02 4.019040e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.149753e+01 1.031607e+01 4.019048e+00 7.126591e-01 1.085133e-01 7.733298e-02
1.250000e+00 1.331000e+00 1.258891e+00 5.728000e-02 2.233010e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.161905e+01 5.230884e+00 2.233014e+00 8.542019e-01 1.103953e-01 9.429989e-02
1.250000e+00 6.746000e-01 6.380524e-01 5.728000e-02 1.511744e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.117514e+01 1.568220e+02 1.511747e+01 5.250243e-02 9.891692e-02 5.193378e-03
1.250000e+00 1.321000e-01 1.239666e-01 6.561000e-02 2.300892e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179509e+01 2.993424e+05 2.300896e-01 1.879746e-04 9.615778e-02 1.807522e-05
1.250000e+00 1.014000e+00 9.590648e-01 5.728000e-02 6.598130e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.136290e+01 2.040282e+01 6.598143e+00 3.691020e-01 1.057660e-01 3.903846e-02
