# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_selection eff_total
9.848000e-01 3.888000e-01 3.974126e-05 3.392240e-03 4.797324e-03 1.000000e-02 3.392220e-03 1.471621e+01 4.109748e+02 4.573142e+02 9.075356e-03 1.903144e-05
3.207000e-02 5.878000e-02 9.391570e+00 7.927409e-06 1.121105e-05 1.000000e-02 7.927409e-06 6.700301e+00 2.031398e-01 5.902021e+02 3.862965e-02 7.385471e-05
1.108000e+00 8.377000e-02 4.761363e-19 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 4.126929e+17 2.074734e-23 3.834962e-02 1.807740e-19
1.403000e+00 4.642000e-02 5.503618e-29 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 8.883349e+26 5.505129e-41 4.089615e-02 4.979303e-29
2.687000e-01 1.512000e-01 3.330825e-03 4.099860e-04 5.798077e-04 1.000000e-02 4.099859e-04 7.503144e+00 1.558592e+04 5.598734e+02 2.875662e-02 9.576019e-06
1.403000e+00 1.125000e-02 1.120995e-32 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.088072e+30 1.121303e-44 4.121062e-02 1.013525e-32
1.777000e+00 1.194000e-01 1.942043e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.997400e+01 2.024914e+05 1.941704e+01 3.378480e-02 4.550256e-07
8.249000e-02 1.343000e-01 6.864817e-01 2.739896e-05 3.874798e-05 1.000000e-02 2.739896e-05 8.779068e+00 1.091028e-02 5.153437e+02 2.790553e-02 5.886845e-05
5.789000e-02 5.223000e-02 7.110835e-02 9.116698e-05 1.289296e-04 1.000000e-02 9.116698e-05 7.145361e+00 7.853802e+04 5.910113e+02 3.939043e-02 2.171615e-06
2.388000e-01 2.894000e-02 4.568498e-05 3.620999e-03 5.120832e-03 1.000000e-02 3.620975e-03 6.547732e+00 5.995489e+05 5.990046e+02 4.090007e-02 8.069573e-08
4.849000e-01 1.604000e-02 4.058136e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 2.597336e+27 4.059250e-40 4.100200e-02 7.729415e-30
1.579000e+00 1.125000e-02 4.334273e-33 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.745974e+30 4.335463e-45 4.117922e-02 6.167990e-33
2.000000e-02 1.512000e-01 1.363571e+01 6.339060e-06 8.964785e-06 1.000000e-02 6.339060e-06 8.018579e+00 5.717836e-03 5.479332e+02 3.706229e-02 6.996338e-05
3.024000e-01 2.894000e-02 1.785834e-05 5.661358e-03 8.006241e-03 1.000000e-02 5.661267e-03 7.701825e+00 6.332221e+05 5.723772e+02 4.056207e-02 6.831984e-08
9.848000e-01 2.031000e-02 6.422296e-30 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.352428e+28 6.424059e-42 4.108373e-02 1.546049e-30
1.489000e-01 3.888000e-01 2.531503e-02 1.171462e-04 1.656698e-04 1.000000e-02 1.171462e-04 1.693311e+01 5.790195e-05 3.474042e+02 1.433810e-02 3.567176e-05
